,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3818,-869,-96,-48,-172,94
1,10.893881000811234,10,3851,-907,-107,-40,-167,67
2,20.1127809996251,9,3870,-923,-121,-28,-167,42
3,29.204682003182825,9,3885,-964,-111,-46,-167,17
4,38.398582000809256,9,3893,-995,-112,-74,-168,2
5,47.70647999976063,9,3879,-1001,-111,-100,-178,-40
6,56.95737900532549,9,3865,-1001,-163,-125,-197,-61
7,66.16427900007693,9,3852,-1262,-218,-141,-209,-73
8,75.2601800049888,9,3824,-1043,-294,-147,-214,-85
9,84.4660799994017,9,3813,-1092,-353,-141,-217,-87
10,93.69297900411766,9,3776,-1179,-397,-115,-216,-121
11,102.76988000259735,9,3718,-1189,-394,-90,-215,-158
12,112.45877500186907,9,3662,-1178,-415,-71,-201,-198
13,121.37567700119689,8,3633,-1077,-411,-30,-204,-265
14,130.2355810039444,8,3681,-940,-353,61,-192,-357
15,139.08348500262946,8,3764,-731,-111,117,-180,-444
16,147.9613880001125,8,3824,-363,84,150,-171,-495
17,156.87229100149125,8,3941,4,343,134,-183,-499
18,165.7861940038856,8,4166,520,554,117,-210,-383
19,174.6440970018739,8,4787,1294,957,112,-506,-69
20,183.54000000545057,8,5136,2187,1247,129,-427,665
21,192.3839040027815,8,5589,2908,1532,688,-581,1025
22,201.29280700348318,8,5982,2968,1816,807,-661,1336
23,209.98571200470906,8,6462,3139,2213,1529,-568,1583
24,219.05761300149607,9,7274,3914,2665,2152,-282,1812
25,228.01351600355702,8,8522,4534,3117,2661,-72,2198
26,236.84541900001932,8,9562,5358,3008,3139,-45,2661
27,245.754322000721,8,10378,5354,2047,3307,-454,3093
28,254.65922500006855,8,10512,5174,-99,3386,-549,3474
29,263.5411290029879,8,11116,5551,-1785,3326,-561,3783
30,272.4640310043469,8,11379,6545,-3226,3405,-239,3873
31,281.3469350003288,8,11986,7847,-4006,3782,761,3906
32,290.39183600252727,9,12393,9336,-3815,4741,1695,4308
33,299.3777380033862,8,12289,10566,-3315,5507,2700,4994
34,308.2356420054566,8,11429,10664,-2736,6214,2886,6007
35,317.1225449987105,8,10022,10521,-2123,6823,3014,7186
36,327.128436001658,10,7041,9467,-1811,7450,2984,8089
37,336.2793359992793,9,3871,8461,-1334,8146,3101,8293
38,345.8372320019407,9,-376,7878,-947,8269,3406,8414
39,355.2111300014076,9,-3292,7537,-139,8254,3735,8160
40,364.0390340005979,8,-6562,7267,559,8055,3928,7640
41,372.82893800147576,8,-9979,6056,1145,8316,3571,6611
42,381.5998420031974,8,-14015,5399,2056,8990,3039,4881
43,390.4637460000231,8,-19943,5666,2381,9756,2691,4192
44,399.2946490034228,8,-27574,7554,2216,11211,2620,4594
45,408.0855540014454,8,-31704,9970,4564,13269,3840,5259
46,416.8484580004588,8,-32764,10616,13388,15607,6811,5108
47,425.72536100487923,8,-31044,8022,31014,16177,10181,4808
48,434.56926500221016,8,-25222,160,32764,14291,12617,4275
49,443.3521690007183,8,-20458,-3347,32764,2559,12449,4074
50,452.21907299855957,8,-6816,-17098,26042,-2301,-2317,1172
51,461.12397600518307,8,-896,-19812,12411,-6686,-8775,-2962
52,470.0288790045306,8,-7586,-5715,912,-8784,-12019,-5525
53,478.9187819988001,8,-16108,6599,-4422,-14539,-10104,-5315
54,487.88668400084134,8,-12113,15563,-7002,-14574,-5116,-3131
55,496.70158800290665,8,-8116,13855,-5999,-8521,-1396,-1206
56,505.6574910049676,8,-8608,8514,-2936,-762,346,-1303
57,514.5023939985549,8,-10037,1729,2235,2716,1971,-2224
58,523.3352979994379,8,-12227,-4618,6140,3412,2059,-4048
59,532.2702010016656,8,-13095,-7900,9014,864,362,-6438
60,541.1381040030392,8,-14165,-5896,9630,-3990,-3373,-6914
61,550.1230060035596,8,-15583,-860,6576,-9128,-6009,-6103
62,558.9209099998698,8,-12774,3384,3002,-10592,-5837,-5179
63,567.6818150022882,8,-10293,6960,716,-9695,-4191,-5129
64,576.4937190033379,8,-6519,5651,-41,-7382,-2690,-5104
65,585.1656240047305,8,-2601,3864,-362,-4077,-2186,-4512
66,594.1735260057612,9,-636,2855,-392,-2484,-1817,-4233
67,602.9494309987058,8,955,1867,-14,-2275,-2017,-4084
68,611.7753340004128,8,2047,696,516,-2924,-2212,-4031
69,620.7332370031509,8,2890,-178,1249,-4419,-2252,-4049
70,629.5501409986173,8,3614,-110,1291,-5613,-2215,-4004
71,638.3670450013597,8,4486,467,986,-6440,-2181,-3937
72,647.5549450042308,9,5384,896,211,-7128,-2271,-3763
73,656.5358470033971,8,6998,1669,-482,-7730,-2241,-3589
74,665.3887499996927,8,8509,2978,-438,-7946,-2127,-3403
75,674.3086530041182,8,9780,4078,317,-7427,-1595,-3343
76,683.0745580009534,8,10953,4475,1249,-6644,-881,-3227
77,691.942461002327,8,11471,4675,2189,-5408,-324,-3057
78,700.8073640026851,8,11357,4748,2997,-4593,122,-2954
79,709.6112680010265,8,10940,4513,3664,-4030,459,-2965
80,718.4681720027584,8,10451,4354,4201,-3703,464,-3112
81,727.2450759992353,8,9444,4161,4379,-3484,262,-3337
82,736.0769799997797,8,8412,4160,4159,-3168,-63,-3381
83,744.9138840020169,8,7689,3893,3543,-2796,-289,-3153
84,753.6957880001864,8,7106,3655,2389,-2417,-481,-2317
85,762.5066920008976,8,6430,3093,1480,-1651,-596,-1535
86,771.381595004641,8,6365,2375,565,-1068,-601,-578
87,780.2314990040031,8,5730,989,-183,-495,-262,281
88,789.0554030018393,8,4967,-374,-679,53,-233,798
89,797.9263060042285,8,4121,-1818,-544,381,79,821
90,806.7732100025751,8,3412,-2889,-582,262,387,490
91,815.3851160022896,8,3324,-3761,-399,484,585,84
92,824.3490180029767,8,3290,-4071,-243,243,597,-488
93,833.1319230055669,8,3366,-4035,-213,-50,436,-415
94,841.9618260013522,8,3446,-3713,-284,-402,270,-507
95,850.9187290037517,8,3519,-3290,-412,-904,128,-511
96,859.7906319992035,8,3519,-2711,-517,-1243,54,-528
97,868.6815350010875,8,3447,-2122,-659,-1427,57,-572
98,877.5324390007881,8,3490,-1792,-698,-1380,132,-625
99,886.4023420028389,8,3604,-1799,-611,-1169,495,-657
100,895.2832450013375,8,3560,-2038,-399,-799,319,-654
101,904.2061479995027,8,3555,-1750,-110,-530,380,-669
102,913.006052003766,8,3335,-1640,179,-335,349,-697
103,921.8589560041437,8,3631,-1642,418,-194,8,-712
104,930.7348590009497,8,3649,-1649,674,-152,142,-723
105,939.5757630045409,8,3732,-1569,787,-147,16,-747
106,948.5436649993062,8,3892,-1426,775,-192,-97,-720
107,957.3305689991685,8,3995,-1317,537,-512,-241,-595
108,966.0884740005713,8,4004,-1264,351,-367,-345,-451
109,975.0133769994136,8,3937,-1198,179,-461,-391,-362
110,983.7982809985988,8,3939,-1123,-8,-476,-369,-315
111,992.6481850052369,8,3860,-1080,-172,-444,-332,-245
