,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,3334,-1341,109,162,-56,-278
1,10.468166999999085,10,3586,-1311,-13,221,-42,-274
2,19.48330999994141,9,3606,-1309,-36,314,-10,-266
3,28.804457999740407,9,3602,-1321,5,375,27,-275
4,37.883602999954746,9,3595,-1358,64,437,80,-269
5,47.39575399980822,9,3569,-1378,153,467,116,-264
6,56.608900999890466,9,3542,-1396,255,486,128,-248
7,65.87204800007385,9,3496,-1391,355,478,125,-247
8,75.09219499979736,9,3438,-1390,421,452,128,-238
9,84.3893430001117,9,3406,-1411,458,388,113,-229
10,93.63248999989082,9,3403,-1359,489,334,97,-212
11,104.59466500014969,10,3424,-1327,485,264,81,-192
12,113.37380399982067,8,3412,-1306,496,241,83,-174
13,121.98494099993695,8,3356,-1319,533,262,82,-134
14,130.90808300012213,8,3262,-1283,537,274,100,-93
15,139.50621999993018,8,3118,-1340,646,313,121,-41
16,148.52336400008426,9,3014,-1357,802,357,126,-4
17,157.48850599993602,8,2929,-1390,934,340,117,25
18,166.2746460001472,8,2876,-1398,1097,276,75,66
19,175.2067879997412,8,2757,-1351,1246,197,28,150
20,184.06692899998234,8,2609,-1275,1343,38,-14,220
21,193.0070710000109,8,2472,-1171,1424,-159,-91,327
22,201.91721299988785,8,2300,-981,1425,-305,-175,452
23,210.8513549997042,8,1815,-799,1430,-407,-252,616
24,219.67949600002612,8,1833,-634,1449,-457,-301,733
25,228.56163699998433,8,1727,-478,1588,-454,-334,883
26,237.32377699980134,8,1641,-320,2026,-468,-370,1063
27,246.24191900011283,8,1602,-234,2070,-539,-411,1311
28,255.08305899984407,8,1311,-195,2357,-705,-747,1525
29,263.9472000000751,8,1445,-204,2624,-1045,-600,2022
30,272.8063409999777,8,1354,-169,2765,-1467,-734,2276
31,281.5844809997543,8,1026,-117,2724,-1903,-894,2350
32,290.58262399985324,8,1187,-38,2470,-2210,-1106,2593
33,299.40876499995284,8,1047,21,2176,-2352,-1328,2803
34,308.1279029997859,8,856,-30,1567,-2292,-1560,2977
35,317.18604699972275,9,716,-51,1497,-1842,-1694,3135
36,326.14118999981656,8,645,-26,1344,-1562,-1831,3231
37,334.98833099974945,8,577,-42,1250,-1374,-1978,3337
