,time_ms,delta_ms,aX,aY,aZ,gX,gY,gZ
0,0.0,0,2825,-1000,763,-1331,466,131
1,10.193903000072169,10,2897,-1051,927,-1342,379,160
2,19.29081700018287,9,2860,-1116,1025,-1488,295,239
3,28.527728999961255,9,2845,-1068,796,-1609,149,331
4,37.641643000370095,9,2823,-1093,914,-1697,23,415
5,47.08055300034175,9,2768,-1150,514,-1691,-109,473
6,56.24446599995281,9,2743,-1143,607,-1321,-200,522
7,66.23337200016977,9,2701,-1178,483,-1328,-286,558
8,75.57928300002459,9,2665,-1244,362,-1112,-330,560
9,84.75419600017631,9,2693,-1317,314,-754,-361,557
10,96.98808000030112,12,2699,-1407,279,-495,-367,566
11,107.20098299998426,10,2780,-1511,287,-284,-370,565
12,116.74689200026478,9,2864,-1650,362,-157,-349,562
13,125.54780900018159,8,2972,-1787,468,-52,-336,553
14,134.43872500010912,8,3168,-1838,534,103,-339,532
15,143.31964000029984,8,3349,-1901,534,268,-374,531
16,152.0045580000442,8,3526,-2064,516,434,-405,542
17,161.0964720002812,9,3681,-2302,447,602,-434,532
18,170.0013869999566,8,3913,-2567,435,788,-463,491
19,178.83930300013162,8,4100,-2908,405,916,-494,432
20,187.74221900002885,8,4336,-3145,369,1023,-501,345
21,196.6591340001287,8,4558,-3337,295,1128,-504,300
22,205.60505000003104,8,4770,-3523,245,1232,-476,258
23,214.57396400001016,8,4898,-3773,503,1318,-420,196
24,223.4088810000685,8,4956,-3927,237,1429,-354,89
25,232.33679600025425,8,4955,-4101,252,1789,-306,-25
26,240.9847140002057,8,4899,-4208,326,1652,-270,-176
27,249.78463100023873,8,4861,-4244,377,1728,-238,-331
28,258.725546000278,8,4759,-4191,423,1744,-233,-739
29,267.5064630002453,8,4659,-4076,437,1709,-223,-655
30,276.3573790002738,8,4475,-3935,431,1595,-222,-779
31,285.2362940002422,8,4356,-3683,431,1509,-249,-886
32,294.0082110003459,8,4253,-3300,396,1464,-283,-989
33,302.901127000041,8,3844,-3008,279,1435,-318,-1051
34,311.6670439999325,8,3986,-2642,162,1402,-346,-1092
35,320.4789599999458,8,3819,-2064,51,1403,-362,-1113
36,329.37087600021187,8,3676,-2026,-89,1449,-389,-1137
37,338.2017920002909,8,3520,-1820,-229,1519,-396,-1154
38,347.0647080002891,8,3406,-1599,-375,1628,-392,-1164
39,356.01762300029804,8,3239,-1436,-459,1769,-383,-1159
40,364.84853900037706,8,3116,-1257,-519,1851,-371,-1154
41,373.8484539999263,8,3022,-1119,-563,1890,-357,-1151
42,382.70037000029333,8,2944,-961,-524,1877,-349,-1127
43,391.56028600018544,8,2875,-532,-476,1806,-344,-1084
44,400.4732020002848,8,2829,-570,-412,1703,-340,-774
45,409.45711700032916,8,2775,-406,-321,1312,-323,-926
46,418.3950320002623,8,2787,-203,-244,1391,-304,-824
47,427.30194700016,8,2781,0,-214,1281,-305,-691
48,436.1768630001279,8,2812,236,-192,1198,-326,-487
49,445.14277799999036,8,2752,364,-170,1127,-371,-322
50,454.06769300007,8,2696,422,-170,1071,-432,-188
51,462.98660899992683,8,2611,443,-169,1033,-531,-82
52,471.6645270000299,8,2565,486,-195,949,-620,20
53,480.60144200007926,8,2531,530,-288,858,-733,119
54,489.56435700029033,8,2525,523,-405,699,-840,223
55,498.3872729999348,8,2592,532,-515,533,-973,318
56,507.34318800004985,8,2664,574,-1013,378,-1081,431
57,516.2531040000431,8,2746,638,-1062,234,-1167,482
58,525.2080190002744,8,2932,663,-1267,141,-1202,505
59,534.0849350000099,8,3134,688,-1446,112,-1151,535
60,543.003850000332,8,3415,696,-1577,97,-1058,572
61,551.8287660001988,8,4032,706,-1576,68,-942,604
62,560.4836840002463,8,4262,649,-1588,6,-847,627
63,569.4106000000829,8,4666,542,-1594,-67,-758,637
64,578.2755160003035,8,5087,413,-1630,-155,-694,657
65,587.1344320003118,8,5391,297,-1711,-232,-640,667
66,595.9173480000572,8,5671,98,-1778,-303,-586,661
67,604.7602650000954,8,5758,-138,-1890,-333,-503,630
68,613.6161809999976,8,5823,-432,-1973,-310,-341,589
69,622.4490970002989,8,5799,-691,-2025,-10,-188,534
70,631.2870130000192,8,5742,-1229,-2038,-168,237,487
71,640.2009290000024,8,5583,-1285,-2012,-83,125,438
72,649.0288449999753,8,5383,-1680,-1894,-1,309,369
73,657.9817599999842,8,5112,-1966,-1709,28,449,226
74,666.7916760002299,8,4828,-2205,-1507,-20,559,37
75,675.7745909999358,8,4527,-2330,-1293,-149,639,-164
76,684.5975080000244,8,4355,-2266,-1130,-307,684,-370
77,693.4264240003358,8,4242,-2054,-953,-731,690,-553
78,702.3873390003246,8,4144,-1787,-875,-667,674,-642
79,711.2022549999892,8,4026,-1515,-814,-787,647,-678
80,720.2031700003317,9,3920,-1212,-762,-873,644,-687
81,729.0690859999813,8,3590,-1018,-687,-909,647,-675
82,738.0660010003339,8,3725,-864,-625,-912,657,-659
83,747.0599150001362,8,3630,-755,-567,-884,643,-639
84,756.0028299999431,8,3555,-703,-446,-838,622,-623
85,764.9207460003709,8,3479,-689,-355,-792,603,-618
86,773.8096620000761,8,3395,-692,-263,-770,578,-604
87,782.6675780002006,8,3360,-667,-170,-781,539,-588
88,791.6024930000276,8,3317,-674,-96,-813,504,-534
89,800.464409000142,8,3266,-660,-50,-853,473,-470
90,809.3173249999381,8,3233,-629,232,-880,454,-388
91,819.0452329999971,9,3195,-604,16,-895,445,-319
92,828.3501440000691,9,3182,-566,44,-890,427,-249
93,837.7450550001413,9,3143,-587,138,-861,398,-182
94,846.9549680003183,9,3126,-621,227,-806,357,-128
95,856.2278800000058,9,3090,-638,327,-749,313,-66
96,865.497792000042,9,3058,-634,359,-711,11,247
97,874.6997050002392,9,3064,-637,420,-684,202,67
98,883.9486169999873,9,3053,-610,469,-695,154,147
99,893.1485299999622,9,3055,-588,492,-707,116,234
100,902.4004420002711,9,3044,-586,476,-740,94,331
101,911.4893559999473,9,3050,-562,490,-742,64,397
102,921.1362650003139,9,2820,-605,515,-697,53,478
103,930.0641800000449,8,3075,-659,555,-591,34,538
104,938.9390960000128,8,3098,-674,562,-496,32,594
105,947.7730120001979,8,3098,-826,564,-421,12,652
106,956.7919270002676,9,3129,-957,595,-368,-11,706
107,965.6618420003724,8,3219,-1114,621,-324,-29,743
108,974.5457580002039,8,3298,-1529,600,-313,-73,770
109,983.4176740000657,8,3414,-1418,575,-309,-117,802
110,992.3485890003576,8,3510,-1584,513,-285,-151,831
111,1001.2725050000881,8,3689,-2009,417,-218,-154,843
112,1010.2304199999708,8,3844,-2007,393,-145,-142,829
113,1019.1173360003631,8,4045,-2164,343,227,-131,799
114,1028.0402510002205,8,4248,-2361,314,95,-140,770
115,1036.924167000052,8,4453,-2592,292,241,-136,708
116,1045.8560820002276,8,4819,-3010,491,337,-116,601
117,1054.757998000241,8,4509,-2996,540,437,-86,422
118,1063.6479130002954,8,4941,-3226,450,496,-55,286
119,1072.9568250003467,9,4986,-3364,521,480,-54,158
120,1081.7967410002893,8,5040,-3300,582,761,-28,39
121,1090.679657000237,8,5097,-3306,579,535,-16,-62
122,1099.5875720000186,8,5014,-3220,540,609,4,-185
123,1108.5864870001387,8,4952,-3065,498,662,4,-308
124,1117.4804030001724,8,4863,-2884,448,689,-3,-438
125,1126.2993190002817,8,4762,-2701,405,706,-12,-518
126,1135.2142350001486,8,4595,-2530,348,720,-23,-576
127,1144.1011500000968,8,4424,-2336,254,748,-44,-642
128,1153.0540650001058,8,4250,-2186,158,785,-54,-727
129,1161.8509820000327,8,4084,-2017,91,829,-62,-783
