trace,gesture end ms
cross001,1490
cross002,1490
cross003,1490
cross004,1490
cross005,1490
cross006,1490
cross007,1490
cross008,1490
cross009,1490
cross010,1490
cross011,1490
cross012,1490
cross013,1490
cross014,1490
cross015,1490
cross016,1490
cross017,1490
cross018,1490
cross019,1490
cross020,1490
cross021,1490
cross022,1490
cross023,1490
cross024,1490
cross025,1490
cross026,1490
cross027,1490
cross028,1490
cross029,1490
cross030,1490
cross031,1490
cross032,1490
cross033,1490
cross034,1490
cross035,1490
cross036,1490
cross037,1490
cross038,1490
cross039,1490
cross040,1490
cross041,1490
cross042,1490
cross043,1490
cross044,1490
cross045,1490
cross046,1490
cross047,1490
cross048,1490
cross049,1490
cross050,1490
cross051,1490
cross052,1490
cross053,1490
cross054,1490
cross055,1490
cross056,1490
cross057,1490
cross058,1490
cross059,1490
cross060,1490
cross061,1490
cross062,1490
cross063,1490
cross064,1490
cross065,1490
cross066,1490
cross067,1490
cross068,1490
cross069,1490
cross070,1490
cross071,1490
cross072,1490
cross073,1490
cross074,1490
cross075,1490
cross076,1490
cross077,1490
cross078,1490
cross079,1490
cross080,1490
cross081,1490
cross082,1490
cross083,1490
cross084,1490
cross085,1490
cross086,1490
cross087,1490
cross088,1490
cross089,1490
cross090,1490
hook001,1490
hook002,1490
hook003,1490
hook004,1490
hook005,1490
hook006,1490
hook007,1490
hook008,1490
hook009,1490
hook010,1490
hook011,1490
hook012,1490
hook013,1490
hook014,1490
hook015,1490
hook016,1490
hook017,1490
hook018,1490
hook019,1490
hook020,1490
hook021,1490
hook022,1490
hook023,1490
hook024,1490
hook025,1490
hook026,1490
hook027,1490
hook028,1490
hook029,1490
hook030,1490
hook031,1490
hook032,1490
hook033,1490
hook034,1490
hook035,1490
hook036,1490
hook037,1490
hook038,1490
hook039,1490
hook040,1490
hook041,1490
hook042,1490
hook043,1490
hook044,1490
hook045,1490
hook046,1490
hook047,1490
hook048,1490
hook049,1490
hook050,1490
hook051,1490
hook052,1490
hook053,1490
hook054,1490
hook055,1490
hook056,1490
hook057,1490
hook058,1490
hook059,1490
hook060,1490
hook061,1490
hook062,1490
hook063,1490
hook064,1490
hook065,1490
hook066,1490
hook067,1490
hook068,1490
hook069,1490
hook070,1490
